iter	Passed	Remaining
0	140	140065
1	141	70678
2	142	47467
3	143	35791
4	144	28730
5	145	24035
6	145	20678
7	146	18151
8	147	16191
9	147	14616
10	148	13328
11	148	12252
12	149	11345
13	150	10572
14	150	9894
15	151	9308
16	152	8800
17	152	8342
18	153	7933
19	154	7562
20	155	7226
21	155	6921
22	156	6642
23	157	6388
24	157	6153
25	158	5934
26	159	5734
27	159	5547
28	160	5373
29	161	5210
30	161	5057
31	162	4913
32	163	4779
33	163	4652
34	164	4532
35	165	4419
36	165	4313
37	166	4213
38	167	4124
39	168	4034
40	168	3949
41	169	3868
42	170	3788
43	170	3713
44	171	3641
45	172	3573
46	172	3507
47	173	3444
48	174	3384
49	175	3325
50	175	3269
51	176	3216
52	177	3164
53	177	3115
54	178	3066
55	179	3019
56	179	2975
57	180	2933
58	181	2891
59	182	2851
60	182	2813
61	183	2776
62	184	2740
63	184	2704
64	185	2669
65	186	2635
66	187	2604
67	187	2568
68	188	2537
69	188	2507
70	189	2478
71	190	2450
72	190	2422
73	191	2395
74	192	2369
75	192	2344
76	193	2319
77	194	2294
78	194	2271
79	195	2248
80	196	2226
81	196	2205
82	197	2184
83	198	2164
84	198	2141
85	199	2121
86	200	2099
87	200	2081
88	201	2063
89	202	2045
90	202	2027
91	203	2009
92	204	1992
93	205	1976
94	205	1960
95	206	1943
96	207	1927
97	207	1911
98	208	1895
99	209	1881
100	209	1867
101	210	1849
102	210	1836
103	211	1821
104	212	1808
105	212	1796
106	213	1783
107	214	1769
108	215	1757
109	215	1745
110	216	1732
111	216	1719
112	217	1707
113	218	1695
114	218	1684
115	219	1672
116	220	1661
117	220	1651
118	221	1639
119	222	1628
120	222	1618
121	223	1608
122	223	1596
123	224	1586
124	225	1577
125	225	1567
126	226	1558
127	227	1547
128	227	1539
129	228	1531
130	229	1522
131	230	1513
132	230	1505
133	231	1496
134	232	1488
135	232	1480
136	233	1471
137	234	1463
138	234	1455
139	235	1447
140	236	1440
141	237	1432
142	237	1424
143	238	1416
144	239	1409
145	239	1402
146	240	1395
147	241	1388
148	241	1381
149	242	1374
150	243	1368
151	243	1361
152	244	1354
153	245	1347
154	245	1340
155	246	1334
156	247	1327
157	247	1321
158	248	1314
159	249	1308
160	249	1302
161	250	1295
162	251	1289
163	251	1284
164	252	1278
165	253	1272
166	253	1266
167	254	1261
168	255	1255
169	256	1250
170	256	1244
171	257	1239
172	258	1234
173	258	1228
174	259	1223
175	260	1218
176	260	1213
177	261	1207
178	262	1202
179	262	1197
180	263	1191
181	263	1186
182	264	1181
183	265	1176
184	265	1171
185	266	1166
186	267	1161
187	267	1157
188	268	1152
189	269	1148
190	270	1143
191	270	1139
192	271	1135
193	272	1130
194	272	1126
195	273	1122
196	274	1117
197	274	1113
198	275	1109
199	276	1105
200	276	1100
201	277	1096
202	278	1092
203	278	1088
204	279	1083
205	280	1080
206	281	1076
207	281	1072
208	282	1068
209	283	1064
210	283	1061
211	284	1057
212	285	1053
213	285	1050
214	286	1046
215	287	1042
216	288	1039
217	288	1036
218	289	1032
219	290	1028
220	290	1025
221	291	1021
222	292	1018
223	292	1014
224	293	1011
225	294	1007
226	294	1003
227	295	1000
228	296	997
229	296	993
230	297	990
231	298	987
232	298	984
233	299	981
234	300	979
235	301	975
236	302	972
237	302	969
238	303	965
239	304	963
240	304	959
241	305	956
242	306	953
243	306	951
244	307	947
245	308	944
246	308	941
247	309	938
248	310	935
249	310	932
250	311	929
251	312	926
252	313	924
253	314	923
254	315	921
255	316	918
256	316	915
257	317	913
258	318	910
259	318	907
260	319	904
261	320	902
262	321	899
263	321	896
264	322	893
265	322	891
266	323	888
267	324	885
268	324	882
269	325	880
270	326	877
271	326	875
272	327	872
273	328	870
274	329	867
275	329	865
276	330	862
277	331	860
278	331	857
279	332	855
280	333	852
281	333	849
282	334	847
283	335	845
284	335	842
285	336	840
286	337	837
287	337	835
288	338	832
289	339	830
290	339	827
291	340	825
292	341	823
293	341	821
294	342	818
295	343	816
296	343	814
297	344	811
298	345	809
299	345	807
300	346	804
301	347	802
302	348	800
303	348	798
304	349	796
305	350	794
306	350	791
307	351	789
308	352	787
309	352	785
310	353	783
311	354	781
312	354	778
313	355	776
314	356	774
315	357	772
316	357	770
317	358	768
318	359	766
319	359	764
320	360	762
321	360	760
322	361	758
323	362	755
324	363	754
325	363	752
326	364	750
327	365	748
328	366	746
329	366	744
330	367	742
331	367	740
332	368	738
333	369	736
334	370	734
335	370	732
336	371	730
337	372	729
338	372	727
339	373	725
340	374	723
341	375	721
342	375	719
343	376	717
344	377	715
345	377	713
346	378	712
347	379	710
348	379	708
349	380	706
350	381	704
351	381	702
352	382	700
353	383	699
354	383	697
355	384	695
356	385	693
357	385	691
358	386	690
359	387	688
360	388	687
361	388	685
362	389	683
363	390	682
364	391	680
365	392	679
366	392	677
367	393	675
368	394	674
369	395	672
370	395	671
371	396	669
372	397	667
373	397	665
374	398	664
375	399	662
376	399	660
377	400	659
378	401	657
379	402	656
380	402	654
381	403	652
382	404	651
383	404	649
384	405	647
385	406	646
386	406	644
387	407	642
388	408	641
389	408	639
390	409	637
391	410	636
392	410	634
393	411	633
394	412	631
395	413	629
396	413	628
397	414	626
398	415	625
399	415	623
400	416	622
401	417	620
402	417	619
403	418	617
404	419	615
405	419	614
406	420	612
407	421	611
408	422	609
409	422	608
410	423	606
411	424	605
412	424	603
413	425	602
414	426	600
415	426	599
416	427	597
417	428	596
418	428	594
419	429	593
420	430	591
421	430	590
422	431	588
423	432	587
424	432	585
425	433	584
426	434	582
427	434	581
428	435	579
429	436	578
430	436	576
431	437	575
432	438	573
433	439	572
434	439	571
435	440	569
436	441	568
437	441	566
438	442	565
439	443	564
440	444	563
441	445	561
442	445	560
443	446	559
444	447	557
445	448	556
446	448	555
447	449	553
448	450	552
449	450	550
450	451	549
451	452	548
452	452	546
453	453	545
454	454	544
455	454	542
456	455	541
457	456	540
458	456	538
459	457	537
460	458	536
461	459	535
462	460	534
463	461	533
464	462	531
465	463	530
466	463	529
467	464	527
468	465	526
469	465	525
470	466	523
471	467	522
472	467	521
473	468	519
474	469	518
475	469	517
476	470	515
477	471	514
478	472	513
479	473	512
480	473	511
481	474	510
482	475	508
483	476	507
484	476	506
485	477	504
486	478	503
487	478	502
488	479	500
489	480	499
490	480	498
491	481	497
492	482	495
493	482	494
494	483	493
495	484	492
496	484	490
497	485	489
498	486	488
499	487	487
500	488	486
501	489	485
502	489	484
503	490	482
504	491	481
505	492	480
506	492	479
507	493	478
508	494	476
509	494	475
510	495	474
511	496	472
512	496	471
513	497	470
514	498	469
515	499	468
516	499	466
517	500	465
518	501	464
519	501	463
520	502	462
521	503	460
522	503	459
523	504	458
524	505	457
525	505	455
526	506	454
527	507	453
528	507	452
529	508	451
530	509	449
531	509	448
532	510	447
533	511	446
534	512	445
535	512	443
536	513	442
537	514	441
538	514	440
539	515	439
540	516	438
541	516	436
542	517	435
543	518	434
544	518	433
545	519	432
546	520	430
547	520	429
548	521	428
549	522	427
550	523	426
551	523	425
552	524	423
553	525	422
554	525	421
555	526	420
556	527	419
557	527	418
558	528	417
559	529	415
560	529	414
561	530	413
562	531	412
563	531	411
564	532	410
565	533	408
566	534	407
567	534	406
568	535	405
569	535	404
570	536	403
571	537	402
572	537	400
573	538	399
574	539	398
575	539	397
576	540	396
577	541	395
578	541	394
579	542	392
580	543	392
581	544	390
582	545	389
583	545	388
584	546	387
585	547	386
586	547	385
587	548	384
588	549	383
589	549	382
590	550	381
591	551	379
592	551	378
593	552	377
594	553	376
595	554	375
596	554	374
597	555	373
598	556	372
599	556	371
600	557	370
601	558	368
602	558	367
603	559	366
604	560	365
605	560	364
606	561	363
607	562	362
608	562	361
609	563	360
610	564	359
611	565	358
612	565	357
613	566	356
614	567	354
615	567	353
616	568	352
617	569	351
618	569	350
619	570	349
620	571	348
621	571	347
622	572	346
623	573	345
624	574	344
625	574	343
626	575	342
627	575	341
628	576	340
629	577	339
