iter	Passed	Remaining
0	143	143717
1	144	72123
2	145	48232
3	145	36310
4	146	29148
5	147	24364
6	147	20952
7	148	18450
8	149	16470
9	150	14920
10	151	13622
11	152	12549
12	153	11641
13	154	10848
14	154	10155
15	155	9547
16	155	9017
17	156	8544
18	157	8120
19	158	7746
20	159	7412
21	159	7102
22	160	6815
23	161	6551
24	161	6309
25	162	6090
26	163	5887
27	164	5696
28	165	5527
29	166	5367
30	167	5237
31	168	5096
32	169	4960
33	170	4831
34	170	4706
35	171	4589
36	172	4477
37	172	4372
38	173	4273
39	174	4177
40	174	4085
41	175	4002
42	176	3925
43	177	3849
44	177	3775
45	178	3703
46	179	3636
47	180	3575
48	181	3526
49	182	3475
50	183	3418
51	184	3365
52	185	3311
53	186	3259
54	186	3208
55	187	3159
56	188	3111
57	188	3066
58	189	3022
59	190	2984
60	191	2945
61	192	2905
62	192	2865
63	193	2828
64	194	2798
65	195	2769
66	197	2748
67	198	2719
68	199	2689
69	199	2656
70	200	2626
71	201	2596
72	202	2568
73	203	2541
74	203	2515
75	204	2487
76	205	2461
77	205	2434
78	206	2409
79	207	2384
80	208	2360
81	209	2339
82	209	2313
83	211	2305
84	212	2287
85	213	2272
86	214	2252
87	215	2231
88	215	2210
89	216	2190
90	217	2171
91	218	2157
92	219	2142
93	220	2125
94	221	2107
95	221	2089
96	222	2071
97	223	2054
98	224	2039
99	225	2027
100	226	2015
101	227	2000
102	227	1984
103	228	1971
104	229	1957
105	230	1943
106	231	1928
107	231	1914
108	232	1902
109	233	1889
110	234	1875
111	234	1862
112	235	1849
113	236	1836
114	237	1823
115	238	1816
116	239	1805
117	240	1800
118	242	1792
119	242	1781
120	243	1770
121	244	1758
122	244	1746
123	245	1735
124	246	1727
125	247	1716
126	248	1705
127	248	1694
128	249	1683
129	250	1673
130	250	1663
131	251	1652
132	252	1642
133	252	1634
134	254	1627
135	255	1624
136	256	1617
137	257	1608
138	258	1600
139	259	1591
140	259	1583
141	260	1573
142	261	1564
143	261	1556
144	262	1547
145	263	1538
146	263	1530
147	264	1523
148	265	1515
149	266	1508
150	266	1500
151	267	1494
152	269	1489
153	270	1485
154	271	1479
155	272	1473
156	273	1467
157	274	1460
158	274	1454
159	275	1447
160	276	1439
161	276	1432
162	277	1425
163	278	1419
164	279	1412
165	279	1405
166	280	1398
167	281	1392
168	281	1385
169	282	1381
170	284	1377
171	285	1372
172	285	1366
173	286	1360
174	287	1354
175	288	1348
176	288	1343
177	289	1338
178	290	1332
179	291	1327
180	291	1321
181	292	1315
182	293	1309
183	294	1304
184	295	1299
185	295	1294
186	296	1290
187	298	1288
188	299	1286
189	300	1282
190	301	1278
191	302	1273
192	303	1268
193	304	1263
194	304	1258
195	305	1253
196	306	1249
197	307	1245
198	308	1241
199	309	1236
200	309	1232
201	310	1227
202	311	1224
203	312	1220
204	314	1220
205	315	1217
206	316	1214
207	317	1210
208	318	1205
209	319	1201
210	320	1197
211	320	1193
212	321	1188
213	322	1184
214	323	1180
215	323	1175
216	324	1171
217	325	1167
218	326	1163
219	327	1160
220	328	1158
221	329	1155
222	330	1151
223	331	1147
224	332	1143
225	332	1139
226	333	1135
227	334	1131
228	335	1128
229	335	1124
230	336	1120
231	337	1116
232	337	1112
233	338	1107
234	339	1104
235	339	1100
236	340	1096
237	341	1093
238	343	1092
239	344	1091
240	345	1088
241	346	1084
242	347	1081
243	347	1077
244	348	1074
245	349	1070
246	349	1066
247	350	1062
248	351	1059
249	351	1055
250	352	1052
251	353	1048
252	353	1044
253	354	1041
254	355	1037
255	356	1034
256	357	1033
257	358	1030
258	359	1027
259	360	1024
260	360	1021
261	361	1018
262	362	1015
263	363	1012
264	363	1009
265	364	1006
266	365	1003
267	366	1000
268	367	998
269	368	995
270	369	994
271	370	991
272	372	990
273	372	988
274	373	985
275	374	982
276	375	979
277	375	975
278	376	973
279	377	970
280	378	967
281	379	965
282	379	962
283	380	959
284	381	956
285	381	953
286	382	950
287	383	947
288	383	944
289	384	941
290	386	940
291	387	938
292	388	936
293	388	933
294	389	930
295	390	927
296	390	925
297	391	922
298	392	919
299	392	916
300	393	914
301	394	911
302	395	908
303	395	906
304	396	903
305	397	901
306	397	898
307	398	895
308	399	893
309	400	890
310	400	888
311	401	885
312	402	883
313	403	880
314	403	877
315	404	875
316	405	873
317	405	870
318	406	868
319	407	865
320	407	862
321	408	860
322	409	857
323	409	855
324	410	852
325	411	850
326	411	847
327	412	845
328	414	845
329	415	842
330	416	840
331	416	838
332	417	836
333	418	833
334	418	831
335	419	828
336	420	826
337	420	824
338	421	821
339	422	819
340	422	817
341	423	815
342	424	812
343	424	810
344	425	808
345	426	806
346	427	804
347	428	801
348	428	799
349	429	797
350	430	796
351	431	794
352	432	792
353	432	789
354	433	787
355	434	785
356	434	783
357	435	781
358	436	778
359	436	776
360	437	774
361	438	772
362	438	770
363	439	768
364	440	766
365	441	764
366	441	762
367	442	760
368	443	758
369	444	756
370	445	754
371	445	752
372	446	750
373	447	748
374	447	746
375	448	744
376	449	742
377	450	741
378	451	739
379	451	737
380	452	734
381	453	733
382	454	731
383	455	730
384	455	728
385	456	726
386	457	724
387	458	723
388	459	721
389	460	719
390	460	717
391	461	715
392	462	713
393	462	711
394	463	709
395	464	708
396	464	706
397	465	704
398	466	702
399	467	700
400	467	699
401	468	697
402	469	695
403	470	693
404	470	691
405	471	689
406	471	687
407	472	685
408	473	684
409	474	682
410	475	681
411	476	679
412	476	677
413	477	675
414	478	673
415	478	672
416	479	670
417	480	668
418	480	666
419	481	665
420	482	663
421	483	661
422	483	659
423	484	658
424	485	656
425	486	655
426	486	653
427	487	651
428	488	649
429	489	648
430	489	646
431	490	645
432	491	643
433	491	641
434	492	639
435	493	638
436	494	636
437	495	635
438	496	633
439	496	632
440	497	630
441	498	629
442	499	627
443	499	625
444	500	624
445	501	622
446	502	621
447	502	619
448	504	618
449	504	616
450	505	615
451	506	613
452	506	612
453	507	610
454	508	608
455	509	607
456	509	605
457	510	604
458	511	603
459	512	601
460	513	599
461	513	598
462	514	596
463	515	595
464	515	593
465	516	591
466	517	590
467	518	588
468	518	587
469	519	586
470	520	584
471	521	583
472	522	581
473	522	580
474	523	578
475	524	577
476	525	575
477	525	574
478	526	572
479	527	571
480	527	569
481	528	568
482	529	566
483	529	565
484	530	563
485	531	561
486	532	560
487	533	559
488	533	557
489	534	556
490	535	555
491	536	553
492	536	552
493	537	550
494	538	549
495	539	547
496	539	546
497	540	544
498	541	543
499	541	541
500	542	540
501	543	538
502	543	537
503	544	535
504	545	534
505	545	532
506	546	531
507	547	530
508	548	529
509	549	528
510	550	527
511	551	525
512	552	524
513	553	522
514	553	521
515	554	520
516	555	518
517	556	517
518	556	516
519	557	514
520	558	513
521	558	511
522	559	510
523	560	508
524	560	507
525	561	506
526	562	504
527	563	503
528	564	502
529	565	501
530	566	500
531	567	498
532	567	497
533	568	496
534	569	494
535	570	493
536	570	492
537	571	490
538	572	489
539	572	487
540	573	486
541	574	485
542	574	483
543	575	482
544	576	481
545	577	479
546	578	478
547	578	477
548	579	476
549	580	474
550	580	473
551	581	472
552	582	470
553	583	469
554	583	468
555	584	466
556	585	465
557	586	464
558	586	462
559	587	461
560	588	460
561	588	458
562	589	457
563	590	456
564	591	455
565	591	453
566	593	453
567	594	451
568	594	450
569	595	449
570	596	447
571	596	446
572	597	445
573	598	443
574	598	442
575	607	447
576	608	446
577	609	445
578	610	443
579	611	442
580	611	441
581	612	439
582	613	438
583	613	437
584	614	435
585	615	434
586	615	433
587	616	432
588	617	430
589	617	429
590	618	428
591	619	426
592	620	425
593	620	424
594	621	423
595	622	422
596	623	421
597	624	419
598	625	418
599	626	417
600	626	416
601	627	414
602	628	413
603	629	412
604	629	411
605	630	409
606	631	408
607	631	407
608	632	406
609	633	404
610	633	403
611	634	402
612	635	400
613	635	399
614	636	398
615	637	397
616	638	396
617	639	394
618	639	393
619	640	392
620	641	391
621	641	389
622	642	388
623	643	387
624	643	386
625	644	385
626	645	383
627	645	382
628	646	381
629	647	380
630	647	378
631	648	377
632	649	376
633	650	375
634	651	374
635	652	373
636	652	372
637	653	370
638	654	369
639	655	368
640	655	367
641	656	366
642	657	364
643	657	363
644	658	362
645	659	361
646	659	360
647	660	358
648	661	357
649	661	356
650	662	355
651	663	354
652	664	353
653	665	352
654	666	350
655	667	349
656	667	348
657	668	347
658	669	346
659	670	345
660	670	344
661	671	343
662	672	341
663	673	340
664	673	339
665	674	338
666	675	337
667	675	335
668	676	334
669	677	333
670	677	332
671	678	331
672	679	330
673	680	329
674	681	328
675	682	326
676	682	325
677	683	324
678	684	323
679	684	322
680	685	321
681	686	320
682	687	318
683	687	317
684	688	316
685	689	315
686	690	314
687	690	313
688	691	312
689	692	311
690	693	309
691	693	308
692	694	307
693	695	306
694	696	305
695	697	304
696	698	303
697	698	302
698	699	301
699	700	300
700	700	298
701	701	297
702	702	296
703	702	295
704	703	294
705	704	293
706	704	292
707	705	291
708	706	290
709	707	288
710	708	287
711	708	286
712	709	285
713	710	284
714	711	283
715	711	282
716	712	281
717	713	280
718	713	279
719	714	277
720	715	276
721	716	275
722	716	274
723	717	273
724	718	272
725	718	271
726	719	270
727	721	269
728	722	268
729	723	267
730	724	266
731	725	265
732	725	264
733	726	263
734	727	262
735	728	261
736	729	260
737	729	259
738	730	258
739	731	256
740	732	255
741	733	254
742	733	253
743	734	252
744	735	251
745	735	250
746	736	249
747	737	248
748	737	247
749	738	246
750	740	245
751	741	244
752	741	243
753	742	242
754	743	241
755	743	240
756	744	238
757	745	237
758	745	236
759	746	235
760	747	234
761	748	233
762	749	232
763	750	231
764	751	230
765	751	229
766	752	228
767	753	227
768	753	226
769	754	225
770	755	224
771	756	223
772	757	222
773	757	221
774	758	220
775	759	219
776	760	218
777	761	217
778	761	216
779	762	215
780	763	214
781	764	213
782	764	211
783	765	210
784	766	209
785	766	208
786	767	207
787	769	206
788	770	206
789	772	205
790	773	204
791	774	203
792	775	202
793	775	201
794	777	200
795	778	199
796	779	198
797	780	197
798	781	196
799	782	195
800	784	194
801	786	194
802	787	193
803	788	192
804	789	191
805	789	190
806	790	189
807	791	188
808	792	187
809	792	185
810	793	184
811	794	183
812	795	182
813	795	181
814	796	180
815	797	179
816	797	178
817	798	177
818	800	176
819	801	175
820	802	174
821	803	173
822	804	173
823	805	172
824	806	171
825	806	169
826	807	168
827	808	167
828	808	166
829	809	165
830	810	164
831	811	163
832	812	162
833	812	161
834	814	160
835	816	160
836	817	159
837	817	158
838	818	157
839	819	156
840	820	155
841	821	154
842	821	153
843	822	152
844	823	150
845	823	149
846	824	148
847	825	147
848	825	146
849	826	145
850	827	144
851	828	143
852	829	142
853	830	142
854	831	141
855	832	140
856	833	139
857	834	138
858	834	137
859	835	136
860	836	134
861	836	133
862	837	132
863	838	131
864	839	130
865	839	129
866	840	128
867	841	127
868	841	126
869	842	125
870	844	125
871	845	124
872	847	123
873	847	122
874	848	121
875	849	120
876	849	119
877	850	118
878	851	117
879	852	116
880	852	115
881	853	114
882	854	113
883	855	112
884	855	111
885	856	110
886	857	109
887	858	108
888	860	107
889	861	106
890	862	105
891	862	104
892	863	103
893	864	102
894	864	101
895	865	100
896	866	99
897	867	98
898	867	97
899	868	96
900	869	95
901	869	94
902	870	93
903	871	92
904	872	91
905	873	90
906	874	89
907	875	88
908	876	87
909	877	86
910	877	85
911	878	84
912	879	83
913	879	82
914	880	81
915	881	80
916	881	79
917	882	78
918	883	77
919	883	76
920	884	75
921	885	74
922	885	73
923	886	72
924	887	71
925	889	71
926	890	70
927	892	69
928	893	68
929	893	67
930	894	66
931	895	65
932	895	64
933	896	63
934	897	62
935	897	61
936	898	60
937	899	59
938	899	58
939	900	57
940	901	56
941	903	55
942	905	54
943	905	53
944	906	52
945	907	51
946	907	50
947	908	49
948	909	48
949	910	47
950	911	46
951	911	45
952	912	45
953	913	44
954	913	43
955	914	42
956	915	41
957	916	40
958	917	39
959	918	38
960	919	37
961	920	36
962	921	35
963	922	34
964	922	33
965	923	32
966	924	31
967	924	30
968	925	29
969	926	28
970	927	27
971	927	26
972	928	25
973	929	24
974	929	23
975	930	22
976	932	21
977	933	21
978	935	20
979	935	19
980	936	18
981	937	17
982	938	16
983	938	15
984	939	14
985	940	13
986	940	12
987	941	11
988	942	10
989	942	9
990	943	8
991	944	7
992	945	6
993	947	5
994	948	4
995	948	3
996	949	2
997	950	1
998	951	0
999	951	0
